,PhraseId,SentenceId,Phrase,Sentiment,final_subject,final_Phrase
2393,2394.0,92.0,"['[', ""'"", '...', ""'"", ',', ""'it"", ""'"", ',', '``', ""'s"", ""''"", ',', ""'as"", ""'"", ',', ""'comprehensible"", ""'"", ',', ""'as"", ""'"", ',', ""'any"", ""'"", ',', ""'dummies"", ""'"", ',', ""'guide"", ""'"", ',', ""'"", ',', ""'"", ',', ""'something"", ""'"", ',', ""'even"", ""'"", ',', ""'non-techies"", ""'"", ',', ""'can"", ""'"", ',', ""'enjoy"", ""'"", ',', ""'"", '.', ""'"", ']']",3.0,"['film', 'final', 'hour', 'nearly', 'previous', 'unseen', 'material', 'resides', 'unconvincing', 'soap', 'opera', 'tornatore', 'right', 'cut']",[]
2413,2414.0,93.0,"['[', ""'entertains"", ""'"", ',', ""'not"", ""'"", ',', ""'so"", ""'"", ',', ""'much"", ""'"", ',', ""'because"", ""'"", ',', ""'of"", ""'"", ',', ""'its"", ""'"", ',', ""'music"", ""'"", ',', ""'or"", ""'"", ',', ""'comic"", ""'"", ',', ""'antics"", ""'"", ',', ""'"", ',', ""'"", ',', ""'but"", ""'"", ',', ""'through"", ""'"", ',', ""'the"", ""'"", ',', ""'perverse"", ""'"", ',', ""'pleasure"", ""'"", ',', ""'of"", ""'"", ',', ""'watching"", ""'"", ',', ""'disney"", ""'"", ',', ""'scrape"", ""'"", ',', ""'the"", ""'"", ',', ""'bottom"", ""'"", ',', ""'of"", ""'"", ',', ""'its"", ""'"", ',', ""'own"", ""'"", ',', ""'cracker"", ""'"", ',', ""'barrel"", ""'"", ',', ""'"", '.', ""'"", ']']",1.0,"['engross', 'story', 'combine', 'psychological', 'drama', 'sociological', 'reflection', 'thriller']",[]
2452,2453.0,94.0,"['[', ""'writer\\\\/director"", ""'"", ',', ""'burr"", ""'"", ',', ""'steers"", ""'"", ',', ""'emphasizes"", ""'"", ',', ""'the"", ""'"", ',', ""'"", 'q', ""'"", ',', ""'in"", ""'"", ',', ""'quirky"", ""'"", ',', ""'"", ',', ""'"", ',', ""'with"", ""'"", ',', ""'mixed"", ""'"", ',', ""'results"", ""'"", ',', ""'"", '.', ""'"", ']']",3.0,"['infuriate', 'full', 'frontal', 'close', 'real', 'life', 'make', 'sense']",[]
2472,2473.0,95.0,"['[', ""'scarcely"", ""'"", ',', ""'worth"", ""'"", ',', ""'"", 'a', ""'"", ',', ""'mention"", ""'"", ',', ""'apart"", ""'"", ',', ""'from"", ""'"", ',', ""'reporting"", ""'"", ',', ""'on"", ""'"", ',', ""'the"", ""'"", ',', ""'number"", ""'"", ',', ""'of"", ""'"", ',', ""'tumbleweeds"", ""'"", ',', ""'blowing"", ""'"", ',', ""'through"", ""'"", ',', ""'the"", ""'"", ',', ""'empty"", ""'"", ',', ""'theatres"", ""'"", ',', ""'graced"", ""'"", ',', ""'with"", ""'"", ',', ""'its"", ""'"", ',', ""'company"", ""'"", ',', ""'"", '.', ""'"", ']']",0.0,"['never', 'see', 'first', 'two', 'film', 'series', 'ca', 'compare', 'friday', 'next', 'nothing', 'would', 'change', 'fact', 'load', 'clam', 'leave', 'broiling', 'sun', 'good', 'three', 'day']",[]
2503,2504.0,96.0,"['[', ""'invigorating"", ""'"", ',', ""'"", ',', ""'"", ',', ""'surreal"", ""'"", ',', ""'"", ',', ""'"", ',', ""'and"", ""'"", ',', ""'resonant"", ""'"", ',', ""'with"", ""'"", ',', ""'"", 'a', ""'"", ',', ""'rainbow"", ""'"", ',', ""'of"", ""'"", ',', ""'emotion"", ""'"", ',', ""'"", '.', ""'"", ']']",4.0,['masterpeice'],[]
2519,2520.0,97.0,"['[', ""'"", '``', ""'"", ',', ""'analyze"", ""'"", ',', ""'that"", ""'"", ',', ""'"", '``', ""'"", ',', ""'is"", ""'"", ',', ""'one"", ""'"", ',', ""'of"", ""'"", ',', ""'those"", ""'"", ',', ""'crass"", ""'"", ',', ""'"", ',', ""'"", ',', ""'contrived"", ""'"", ',', ""'sequels"", ""'"", ',', ""'that"", ""'"", ',', ""'not"", ""'"", ',', ""'only"", ""'"", ',', ""'fails"", ""'"", ',', ""'on"", ""'"", ',', ""'its"", ""'"", ',', ""'own"", ""'"", ',', ""'"", ',', ""'"", ',', ""'but"", ""'"", ',', ""'makes"", ""'"", ',', ""'you"", ""'"", ',', ""'second-guess"", ""'"", ',', ""'your"", ""'"", ',', ""'affection"", ""'"", ',', ""'for"", ""'"", ',', ""'the"", ""'"", ',', ""'original"", ""'"", ',', ""'"", '.', ""'"", ']']",0.0,"['core', 'read', 'lip', 'crime', 'story', 'revive', 'noir', 'spirit', 'old', 'french', 'cinema']",[]
2555,2556.0,98.0,"['[', ""'report"", ""'"", ',', ""'card"", ""'"", ',', ""'"", ':', ""'"", ',', ""'does"", ""'"", ',', '``', ""n't"", ""''"", ',', ""'live"", ""'"", ',', ""'up"", ""'"", ',', ""'to"", ""'"", ',', ""'the"", ""'"", ',', ""'exalted"", ""'"", ',', ""'tagline"", ""'"", ',', ""'-"", ""'"", ',', ""'there"", ""'"", ',', '``', ""'s"", ""''"", ',', ""'definite"", ""'"", ',', ""'room"", ""'"", ',', ""'for"", ""'"", ',', ""'improvement"", ""'"", ',', ""'"", '.', ""'"", ']']",1.0,"['big', 'studio', 'picture', 'since', 'mile', 'graceland']",[]
2580,2581.0,99.0,"['[', ""'it"", ""'"", ',', '``', ""'s"", ""''"", ',', ""'not"", ""'"", ',', ""'"", 'a', ""'"", ',', ""'particularly"", ""'"", ',', ""'good"", ""'"", ',', ""'film"", ""'"", ',', ""'"", ',', ""'"", ',', ""'but"", ""'"", ',', ""'neither"", ""'"", ',', ""'is"", ""'"", ',', ""'it"", ""'"", ',', ""'"", 'a', ""'"", ',', ""'monsterous"", ""'"", ',', ""'one"", ""'"", ',', ""'"", '.', ""'"", ']']",2.0,"['effort', 'sincere', 'result', 'honest', 'film', 'bleak', 'hardly', 'watchable']",[]
2597,2598.0,100.0,"['[', ""'tsai"", ""'"", ',', ""'may"", ""'"", ',', ""'be"", ""'"", ',', ""'ploughing"", ""'"", ',', ""'the"", ""'"", ',', ""'same"", ""'"", ',', ""'furrow"", ""'"", ',', ""'once"", ""'"", ',', ""'too"", ""'"", ',', ""'often"", ""'"", ',', ""'"", '.', ""'"", ']']",2.0,"['despite', 'overwrought', 'end', 'film', 'work', 'well', 'performance']",[]
2613,2614.0,101.0,"['[', ""'-lrb-"", ""'"", ',', ""'green"", ""'"", ',', ""'is"", ""'"", ',', ""'-rrb-"", ""'"", ',', ""'the"", ""'"", ',', ""'comedy"", ""'"", ',', ""'equivalent"", ""'"", ',', ""'of"", ""'"", ',', ""'saddam"", ""'"", ',', ""'hussein"", ""'"", ',', ""'"", ',', ""'"", ',', ""'and"", ""'"", ',', ""'"", 'i', ""'"", ',', '``', ""'m"", ""''"", ',', ""'just"", ""'"", ',', ""'about"", ""'"", ',', ""'ready"", ""'"", ',', ""'to"", ""'"", ',', ""'go"", ""'"", ',', ""'to"", ""'"", ',', ""'the"", ""'"", ',', ""'"", 'u.n', '.', ""'"", ',', ""'and"", ""'"", ',', ""'ask"", ""'"", ',', ""'permission"", ""'"", ',', ""'for"", ""'"", ',', ""'"", 'a', ""'"", ',', ""'preemptive"", ""'"", ',', ""'strike"", ""'"", ',', ""'"", '.', ""'"", ']']",1.0,"['start', 'doris', 'day', 'feel', 'get', 'ugly', 'fast']",[]
2653,2654.0,102.0,"['[', ""'"", 'a', ""'"", ',', ""'surprisingly"", ""'"", ',', ""'"", '`', ""'"", ',', ""'solid"", ""'"", ',', '``', ""'"", ""''"", ',', ""'achievement"", ""'"", ',', ""'by"", ""'"", ',', ""'director"", ""'"", ',', ""'malcolm"", ""'"", ',', ""'d"", '.', ""'"", ',', ""'lee"", ""'"", ',', ""'and"", ""'"", ',', ""'writer"", ""'"", ',', ""'john"", ""'"", ',', ""'ridley"", ""'"", ',', ""'"", '.', ""'"", ']']",3.0,"['saw', 'enjoy']",[]
2677,2678.0,103.0,"['[', ""'massoud"", ""'"", ',', '``', ""'s"", ""''"", ',', ""'story"", ""'"", ',', ""'is"", ""'"", ',', ""'an"", ""'"", ',', ""'epic"", ""'"", ',', ""'"", ',', ""'"", ',', ""'but"", ""'"", ',', ""'also"", ""'"", ',', ""'"", 'a', ""'"", ',', ""'tragedy"", ""'"", ',', ""'"", ',', ""'"", ',', ""'the"", ""'"", ',', ""'record"", ""'"", ',', ""'of"", ""'"", ',', ""'"", 'a', ""'"", ',', ""'tenacious"", ""'"", ',', ""'"", ',', ""'"", ',', ""'humane"", ""'"", ',', ""'fighter"", ""'"", ',', ""'who"", ""'"", ',', ""'was"", ""'"", ',', ""'also"", ""'"", ',', ""'the"", ""'"", ',', ""'prisoner"", ""'"", ',', ""'-lrb-"", ""'"", ',', ""'and"", ""'"", ',', ""'ultimately"", ""'"", ',', ""'the"", ""'"", ',', ""'victim"", ""'"", ',', ""'-rrb-"", ""'"", ',', ""'of"", ""'"", ',', ""'history"", ""'"", ',', ""'"", '.', ""'"", ']']",2.0,"['miller', 'craft', 'intriguing', 'story', 'maternal', 'instinct', 'misguided', 'act', 'affection']",[]
2718,2719.0,104.0,"['[', ""'changing"", ""'"", ',', ""'lanes"", ""'"", ',', ""'tries"", ""'"", ',', ""'for"", ""'"", ',', ""'more"", ""'"", ',', ""'"", '.', ""'"", ']']",3.0,"['solidly', 'construct', 'entertain', 'thriller', 'stop', 'short', 'true', 'inspiration']",[]
2726,2727.0,105.0,"['[', ""'shyamalan"", ""'"", ',', ""'should"", ""'"", ',', ""'stop"", ""'"", ',', ""'trying"", ""'"", ',', ""'to"", ""'"", ',', ""'please"", ""'"", ',', ""'his"", ""'"", ',', ""'mom"", ""'"", ',', ""'"", '.', ""'"", ']']",1.0,"['zhuangzhuang', 'create', 'delicate', 'balance', 'style', 'text', 'subtext', 'simple', 'precise', 'anything', 'discordant', 'would', 'topple', 'balance', 'odds', 'nothing']",[]
2738,2739.0,106.0,"['[', ""'"", 'a', ""'"", ',', ""'macabre"", ""'"", ',', ""'and"", ""'"", ',', ""'very"", ""'"", ',', ""'stylized"", ""'"", ',', ""'swedish"", ""'"", ',', ""'fillm"", ""'"", ',', ""'about"", ""'"", ',', ""'"", 'a', ""'"", ',', ""'modern"", ""'"", ',', ""'city"", ""'"", ',', ""'where"", ""'"", ',', ""'all"", ""'"", ',', ""'the"", ""'"", ',', ""'religious"", ""'"", ',', ""'and"", ""'"", ',', ""'civic"", ""'"", ',', ""'virtues"", ""'"", ',', ""'that"", ""'"", ',', ""'hold"", ""'"", ',', ""'society"", ""'"", ',', ""'in"", ""'"", ',', ""'place"", ""'"", ',', ""'are"", ""'"", ',', ""'in"", ""'"", ',', ""'tatters"", ""'"", ',', ""'"", '.', ""'"", ']']",3.0,"['one', 'unassuming', 'film', 'sneak', 'stay', 'long', 'leave', 'theatre']",[]
2776,2777.0,107.0,"['[', ""'one"", ""'"", ',', ""'of"", ""'"", ',', ""'recent"", ""'"", ',', ""'memory"", ""'"", ',', '``', ""'s"", ""''"", ',', ""'most"", ""'"", ',', ""'thoughtful"", ""'"", ',', ""'films"", ""'"", ',', ""'about"", ""'"", ',', ""'art"", ""'"", ',', ""'"", ',', ""'"", ',', ""'ethics"", ""'"", ',', ""'"", ',', ""'"", ',', ""'and"", ""'"", ',', ""'the"", ""'"", ',', ""'cost"", ""'"", ',', ""'of"", ""'"", ',', ""'moral"", ""'"", ',', ""'compromise"", ""'"", ',', ""'"", '.', ""'"", ']']",4.0,"['lack', 'depth']",[]
2803,2804.0,108.0,"['[', ""'the"", ""'"", ',', ""'narrative"", ""'"", ',', ""'is"", ""'"", ',', ""'so"", ""'"", ',', ""'consistently"", ""'"", ',', ""'unimaginative"", ""'"", ',', ""'that"", ""'"", ',', ""'probably"", ""'"", ',', ""'the"", ""'"", ',', ""'only"", ""'"", ',', ""'way"", ""'"", ',', ""'to"", ""'"", ',', ""'have"", ""'"", ',', ""'saved"", ""'"", ',', ""'the"", ""'"", ',', ""'film"", ""'"", ',', ""'is"", ""'"", ',', ""'with"", ""'"", ',', ""'the"", ""'"", ',', ""'aid"", ""'"", ',', ""'of"", ""'"", ',', ""'those"", ""'"", ',', ""'wisecracking"", ""'"", ',', ""'mystery"", ""'"", ',', ""'science"", ""'"", ',', ""'theater"", ""'"", ',', ""'3000"", ""'"", ',', ""'guys"", ""'"", ',', ""'"", '.', ""'"", ']']",2.0,"['odd', 'weird']",[]
2840,2841.0,109.0,"['[', ""'filmmaker"", ""'"", ',', ""'tian"", ""'"", ',', ""'zhuangzhuang"", ""'"", ',', ""'triumphantly"", ""'"", ',', ""'returns"", ""'"", ',', ""'to"", ""'"", ',', ""'narrative"", ""'"", ',', ""'filmmaking"", ""'"", ',', ""'with"", ""'"", ',', ""'"", 'a', ""'"", ',', ""'visually"", ""'"", ',', ""'masterful"", ""'"", ',', ""'work"", ""'"", ',', ""'of"", ""'"", ',', ""'quiet"", ""'"", ',', ""'power"", ""'"", ',', ""'"", '.', ""'"", ']']",4.0,"['originality', 'ai', 'menu', 'never', 'dull', 'moment', 'giant', 'spider', 'invasion', 'comic', 'chiller']",[]
2864,2865.0,110.0,"['[', ""'"", 'a', ""'"", ',', ""'mawkish"", ""'"", ',', ""'self-parody"", ""'"", ',', ""'that"", ""'"", ',', ""'plays"", ""'"", ',', ""'like"", ""'"", ',', ""'some"", ""'"", ',', ""'weird"", ""'"", ',', ""'masterpiece"", ""'"", ',', ""'theater"", ""'"", ',', ""'sketch"", ""'"", ',', ""'with"", ""'"", ',', ""'neither"", ""'"", ',', ""'"", 'a', ""'"", ',', ""'point"", ""'"", ',', ""'of"", ""'"", ',', ""'view"", ""'"", ',', ""'nor"", ""'"", ',', ""'"", 'a', ""'"", ',', ""'compelling"", ""'"", ',', ""'reason"", ""'"", ',', ""'for"", ""'"", ',', ""'being"", ""'"", ',', ""'"", '.', ""'"", ']']",1.0,"['affable', 'timeless', 'like', 'mike', 'raise', 'worthwhile', 'theme', 'deliver', 'wholesome', 'fantasy', 'kid']",[]
2894,2895.0,111.0,"['[', ""'takes"", ""'"", ',', ""'one"", ""'"", ',', ""'character"", ""'"", ',', ""'we"", ""'"", ',', ""'do"", ""'"", ',', '``', ""n't"", ""''"", ',', ""'like"", ""'"", ',', ""'and"", ""'"", ',', ""'another"", ""'"", ',', ""'we"", ""'"", ',', ""'do"", ""'"", ',', '``', ""n't"", ""''"", ',', ""'believe"", ""'"", ',', ""'"", ',', ""'"", ',', ""'and"", ""'"", ',', ""'puts"", ""'"", ',', ""'them"", ""'"", ',', ""'into"", ""'"", ',', ""'"", 'a', ""'"", ',', ""'battle"", ""'"", ',', ""'of"", ""'"", ',', ""'wills"", ""'"", ',', ""'that"", ""'"", ',', ""'is"", ""'"", ',', ""'impossible"", ""'"", ',', ""'to"", ""'"", ',', ""'care"", ""'"", ',', ""'about"", ""'"", ',', ""'and"", ""'"", ',', ""'is"", ""'"", ',', '``', ""n't"", ""''"", ',', ""'very"", ""'"", ',', ""'funny"", ""'"", ',', ""'"", '.', ""'"", ']']",2.0,"['begin', 'end', 'overheated', 'melodrama', 'play', 'like', 'student', 'film']",[]
2929,2930.0,112.0,"['[', ""'and"", ""'"", ',', ""'if"", ""'"", ',', ""'you"", ""'"", ',', ""'appreciate"", ""'"", ',', ""'the"", ""'"", ',', ""'one-sided"", ""'"", ',', ""'theme"", ""'"", ',', ""'to"", ""'"", ',', ""'lawrence"", ""'"", ',', '``', ""'s"", ""''"", ',', ""'over-indulgent"", ""'"", ',', ""'tirade"", ""'"", ',', ""'"", ',', ""'"", ',', ""'then"", ""'"", ',', ""'knock"", ""'"", ',', ""'yourself"", ""'"", ',', ""'out"", ""'"", ',', ""'and"", ""'"", ',', ""'enjoy"", ""'"", ',', ""'the"", ""'"", ',', ""'big"", ""'"", ',', ""'screen"", ""'"", ',', ""'postcard"", ""'"", ',', ""'that"", ""'"", ',', ""'is"", ""'"", ',', ""'"", 'a', ""'"", ',', ""'self-glorified"", ""'"", ',', ""'martin"", ""'"", ',', ""'lawrence"", ""'"", ',', ""'lovefest"", ""'"", ',', ""'"", '.', ""'"", ']']",1.0,"['combine', 'sharp', 'comedy', 'monster', 'movie', 'atmospherics', 'genuine', 'heart', 'create', 'film', 'merely', 'kick', 'undead', 'also', 'deal', 'regret', 'ultimately', 'find', 'redemption']",[]
2971,2972.0,113.0,"['[', ""'the"", ""'"", ',', ""'whole"", ""'"", ',', ""'film"", ""'"", ',', ""'has"", ""'"", ',', ""'this"", ""'"", ',', ""'sneaky"", ""'"", ',', ""'feel"", ""'"", ',', ""'to"", ""'"", ',', ""'it"", ""'"", ',', ""'"", '--', ""'"", ',', ""'as"", ""'"", ',', ""'if"", ""'"", ',', ""'the"", ""'"", ',', ""'director"", ""'"", ',', ""'is"", ""'"", ',', ""'trying"", ""'"", ',', ""'to"", ""'"", ',', ""'dupe"", ""'"", ',', ""'the"", ""'"", ',', ""'viewer"", ""'"", ',', ""'into"", ""'"", ',', ""'taking"", ""'"", ',', ""'it"", ""'"", ',', ""'all"", ""'"", ',', ""'as"", ""'"", ',', ""'very"", ""'"", ',', ""'important"", ""'"", ',', ""'simply"", ""'"", ',', ""'because"", ""'"", ',', ""'the"", ""'"", ',', ""'movie"", ""'"", ',', ""'is"", ""'"", ',', ""'ugly"", ""'"", ',', ""'to"", ""'"", ',', ""'look"", ""'"", ',', ""'at"", ""'"", ',', ""'and"", ""'"", ',', ""'not"", ""'"", ',', ""'"", 'a', ""'"", ',', ""'hollywood"", ""'"", ',', ""'product"", ""'"", ',', ""'"", '.', ""'"", ']']",0.0,"['munch', 'screenplay', 'tenderly', 'observant', 'character']",[]
3021,3022.0,114.0,"['[', ""'whenever"", ""'"", ',', ""'it"", ""'"", ',', ""'threatens"", ""'"", ',', ""'to"", ""'"", ',', ""'get"", ""'"", ',', ""'bogged"", ""'"", ',', ""'down"", ""'"", ',', ""'in"", ""'"", ',', ""'earnest"", ""'"", ',', ""'dramaturgy"", ""'"", ',', ""'"", ',', ""'"", ',', ""'"", 'a', ""'"", ',', ""'stirring"", ""'"", ',', ""'visual"", ""'"", ',', ""'sequence"", ""'"", ',', ""'like"", ""'"", ',', ""'"", 'a', ""'"", ',', ""'surge"", ""'"", ',', ""'through"", ""'"", ',', ""'swirling"", ""'"", ',', ""'rapids"", ""'"", ',', ""'or"", ""'"", ',', ""'"", 'a', ""'"", ',', ""'leap"", ""'"", ',', ""'from"", ""'"", ',', ""'pinnacle"", ""'"", ',', ""'to"", ""'"", ',', ""'pinnacle"", ""'"", ',', ""'rouses"", ""'"", ',', ""'us"", ""'"", ',', ""'"", '.', ""'"", ']']",3.0,"['though', 'flirt', 'bathos', 'pathos', 'oprahfication', 'world', 'know', 'still', 'cut', 'way', 'break', 'bone']",[]
3064,3065.0,115.0,"['[', ""'swinging"", ""'"", ',', ""'"", ',', ""'"", ',', ""'the"", ""'"", ',', ""'film"", ""'"", ',', ""'makes"", ""'"", ',', ""'it"", ""'"", ',', ""'seem"", ""'"", ',', ""'"", ',', ""'"", ',', ""'is"", ""'"", ',', ""'not"", ""'"", ',', ""'"", 'a', ""'"", ',', ""'hobby"", ""'"", ',', ""'that"", ""'"", ',', ""'attracts"", ""'"", ',', ""'the"", ""'"", ',', ""'young"", ""'"", ',', ""'and"", ""'"", ',', ""'fit"", ""'"", ',', ""'"", '.', ""'"", ']']",1.0,"['cast', 'full', 'caffeinated', 'comedy', 'performance', 'make', 'logical', 'loophole', 'fly', 'fast', 'time', 'think', 'anyway']",[]
3086,3087.0,116.0,"['[', ""'but"", ""'"", ',', ""'when"", ""'"", ',', ""'it"", ""'"", ',', ""'does"", ""'"", ',', ""'"", ',', ""'"", ',', ""'you"", ""'"", ',', '``', ""'re"", ""''"", ',', ""'entirely"", ""'"", ',', ""'unprepared"", ""'"", ',', ""'"", '.', ""'"", ']']",2.0,"['blame', 'eddie', 'murphy', 'owen', 'wilson', 'know', 'movie', 'must', 'story', 'script']",[]
3098,3099.0,117.0,"['[', ""'devos"", ""'"", ',', ""'delivers"", ""'"", ',', ""'"", 'a', ""'"", ',', ""'perfect"", ""'"", ',', ""'performance"", ""'"", ',', ""'that"", ""'"", ',', ""'captures"", ""'"", ',', ""'the"", ""'"", ',', ""'innocence"", ""'"", ',', ""'and"", ""'"", ',', ""'budding"", ""'"", ',', ""'demons"", ""'"", ',', ""'within"", ""'"", ',', ""'"", 'a', ""'"", ',', ""'wallflower"", ""'"", ',', ""'"", '.', ""'"", ']']",3.0,"['entire', 'movie', 'truncate', 'feeling', 'available', 'lovely', 'lovable']",[]
3122,3123.0,118.0,"['[', ""'300"", ""'"", ',', ""'years"", ""'"", ',', ""'of"", ""'"", ',', ""'russian"", ""'"", ',', ""'history"", ""'"", ',', ""'and"", ""'"", ',', ""'culture"", ""'"", ',', ""'compressed"", ""'"", ',', ""'into"", ""'"", ',', ""'an"", ""'"", ',', ""'evanescent"", ""'"", ',', ""'"", ',', ""'"", ',', ""'seamless"", ""'"", ',', ""'and"", ""'"", ',', ""'sumptuous"", ""'"", ',', ""'stream"", ""'"", ',', ""'of"", ""'"", ',', ""'consciousness"", ""'"", ',', ""'"", '.', ""'"", ']']",4.0,"['cast', 'phenomenal', 'especially', 'woman']",[]
3150,3151.0,119.0,"['[', ""'the"", ""'"", ',', ""'filmmakers"", ""'"", ',', ""'want"", ""'"", ',', ""'nothing"", ""'"", ',', ""'else"", ""'"", ',', ""'than"", ""'"", ',', ""'to"", ""'"", ',', ""'show"", ""'"", ',', ""'us"", ""'"", ',', ""'"", 'a', ""'"", ',', ""'good"", ""'"", ',', ""'time"", ""'"", ',', ""'"", ',', ""'"", ',', ""'and"", ""'"", ',', ""'in"", ""'"", ',', ""'their"", ""'"", ',', ""'cheap"", ""'"", ',', ""'"", ',', ""'"", ',', ""'"", 'b', ""'"", ',', ""'movie"", ""'"", ',', ""'way"", ""'"", ',', ""'"", ',', ""'"", ',', ""'they"", ""'"", ',', ""'succeed"", ""'"", ',', ""'"", '.', ""'"", ']']",3.0,"['blade', 'ii', 'movie', 'get', 'might', 'want', 'leave', 'date', 'behind', 'one', 'gon', 'na', 'make', 'feel', 'like', 'owe']",[]
3180,3181.0,120.0,"['[', ""'mr"", '.', ""'"", ',', ""'polanski"", ""'"", ',', ""'is"", ""'"", ',', ""'in"", ""'"", ',', ""'his"", ""'"", ',', ""'element"", ""'"", ',', ""'here"", ""'"", ',', ""'"", ':', ""'"", ',', ""'alone"", ""'"", ',', ""'"", ',', ""'"", ',', ""'abandoned"", ""'"", ',', ""'"", ',', ""'"", ',', ""'but"", ""'"", ',', ""'still"", ""'"", ',', ""'consoled"", ""'"", ',', ""'by"", ""'"", ',', ""'his"", ""'"", ',', ""'art"", ""'"", ',', ""'"", ',', ""'"", ',', ""'which"", ""'"", ',', ""'is"", ""'"", ',', ""'more"", ""'"", ',', ""'than"", ""'"", ',', ""'he"", ""'"", ',', ""'has"", ""'"", ',', ""'ever"", ""'"", ',', ""'revealed"", ""'"", ',', ""'before"", ""'"", ',', ""'about"", ""'"", ',', ""'the"", ""'"", ',', ""'source"", ""'"", ',', ""'of"", ""'"", ',', ""'his"", ""'"", ',', ""'spiritual"", ""'"", ',', ""'survival"", ""'"", ',', ""'"", '.', ""'"", ']']",3.0,"['spoof', 'comedy', 'carry', 'share', 'laugh', 'sometimes', 'chuckle', 'sometimes', 'guffaw', 'great', 'pleasure', 'occasional', 'belly', 'laugh']",[]
3225,3226.0,121.0,"['[', ""'"", '``', ""'"", ',', ""'spider-man"", ""'"", ',', ""'is"", ""'"", ',', ""'better"", ""'"", ',', ""'than"", ""'"", ',', ""'any"", ""'"", ',', ""'summer"", ""'"", ',', ""'blockbuster"", ""'"", ',', ""'we"", ""'"", ',', ""'had"", ""'"", ',', ""'to"", ""'"", ',', ""'endure"", ""'"", ',', ""'last"", ""'"", ',', ""'summer"", ""'"", ',', ""'"", ',', ""'"", ',', ""'and"", ""'"", ',', ""'hopefully"", ""'"", ',', ""'"", ',', ""'"", ',', ""'sets"", ""'"", ',', ""'the"", ""'"", ',', ""'tone"", ""'"", ',', ""'for"", ""'"", ',', ""'"", 'a', ""'"", ',', ""'summer"", ""'"", ',', ""'of"", ""'"", ',', ""'good"", ""'"", ',', ""'stuff"", ""'"", ',', ""'"", '.', ""'"", ']']",4.0,"['waste', 'fearless', 'purity', 'acting', 'craft']",[]
3262,3263.0,122.0,"['[', ""'absorbing"", ""'"", ',', ""'character"", ""'"", ']']",2.0,"['whatever', 'warn', 'kid', 'danger', 'ouija', 'board', 'someone', 'dispense', 'advice', 'film', 'director']",[]
3264,3265.0,123.0,"['[', ""'violent"", ""'"", ',', ""'"", ',', ""'"", ',', ""'vulgar"", ""'"", ',', ""'and"", ""'"", ',', ""'forgettably"", ""'"", ',', ""'entertaining"", ""'"", ',', ""'"", '.', ""'"", ']']",1.0,"['bloody', 'sunday', 'lack', 'clarity', 'make', 'great', 'fiery', 'passion']",[]
3272,3273.0,124.0,"['[', ""'it"", ""'"", ',', '``', ""'s"", ""''"", ',', ""'the"", ""'"", ',', ""'unsettling"", ""'"", ',', ""'images"", ""'"", ',', ""'of"", ""'"", ',', ""'"", 'a', ""'"", ',', ""'war-ravaged"", ""'"", ',', ""'land"", ""'"", ',', ""'that"", ""'"", ',', ""'prove"", ""'"", ',', ""'more"", ""'"", ',', ""'potent"", ""'"", ',', ""'and"", ""'"", ',', ""'riveting"", ""'"", ',', ""'than"", ""'"", ',', ""'the"", ""'"", ',', ""'unlikely"", ""'"", ',', ""'story"", ""'"", ',', ""'of"", ""'"", ',', ""'sarah"", ""'"", ',', ""'and"", ""'"", ',', ""'harrison"", ""'"", ',', ""'"", '.', ""'"", ']']",2.0,"['spite', 'feature', 'script', 'credit', 'few', 'five', 'writer', 'apparently', 'nobody', 'bother', 'check', 'twice']",[]
3304,3305.0,125.0,"['[', ""'winds"", ""'"", ',', ""'up"", ""'"", ',', ""'being"", ""'"", ',', ""'both"", ""'"", ',', ""'revelatory"", ""'"", ',', ""'and"", ""'"", ',', ""'narcissistic"", ""'"", ',', ""'"", ',', ""'"", ',', ""'achieving"", ""'"", ',', ""'some"", ""'"", ',', ""'honest"", ""'"", ',', ""'insight"", ""'"", ',', ""'into"", ""'"", ',', ""'relationships"", ""'"", ',', ""'that"", ""'"", ',', ""'most"", ""'"", ',', ""'high-concept"", ""'"", ',', ""'films"", ""'"", ',', ""'candy-coat"", ""'"", ',', ""'with"", ""'"", ',', ""'pat"", ""'"", ',', ""'storylines"", ""'"", ',', ""'"", ',', ""'"", ',', ""'precious"", ""'"", ',', ""'circumstances"", ""'"", ',', ""'and"", ""'"", ',', ""'beautiful"", ""'"", ',', ""'stars"", ""'"", ',', ""'"", '.', ""'"", ']']",3.0,"['audience', 'saw', 'one', 'chuckle', 'wrong', 'time', 'bad', 'sign', 'suppose', 'collective', 'heart', 'attack']",[]
3346,3347.0,126.0,"['[', ""'if"", ""'"", ',', ""'mostly"", ""'"", ',', ""'martha"", ""'"", ',', ""'is"", ""'"", ',', ""'mostly"", ""'"", ',', ""'unsurprising"", ""'"", ',', ""'"", ',', ""'"", ',', ""'it"", ""'"", ',', '``', ""'s"", ""''"", ',', ""'still"", ""'"", ',', ""'"", 'a', ""'"", ',', ""'sweet"", ""'"", ',', ""'"", ',', ""'"", ',', ""'even"", ""'"", ',', ""'delectable"", ""'"", ',', ""'diversion"", ""'"", ',', ""'"", '.', ""'"", ']']",3.0,"['cast', 'portray', 'cartoon', 'counterpart', 'well', 'quite', 'frankly', 'scoob', 'shag', 'eat', 'enough', 'film']",[]
